"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14440258>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24109188>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7616032>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14622217>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22711888>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.61013746>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14945932>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23624253>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8556986>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14757216>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24629001>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.79925936>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08840714>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.150292>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.6639855>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09023945>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16852973>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.085252>}]"
