"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14476766>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24948251>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9673231>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1536939>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2227308>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.2963799>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.07958001>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14850767>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.2666984>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08636568>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14349478>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.5210545>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1431808>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23259668>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.1007693>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.082959265>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15737036>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.5809216>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08467212>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14759518>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.5492795>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14266919>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23171906>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0148687>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.080287665>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1399599>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.1014>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14537452>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2431454>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9991021>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1439762>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22133921>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0872002>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.139491>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2225622>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.99674636>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15107521>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23660034>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.1813252>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08650878>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14751616>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.623256>}]"
