"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14339112>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24420202>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.83593476>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16042621>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24104807>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.884288>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1571228>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25255936>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9114801>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.109545216>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16430312>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.9651449>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1493452>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24294767>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8896877>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.102500886>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16621733>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.2709053>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.090021476>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14517222>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.872013>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1500081>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23859222>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.87638223>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08433678>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14276265>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.887735>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14830953>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23630211>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9507038>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.086536504>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14624865>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.8111107>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15292832>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24787389>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9019834>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15080984>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24241185>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5939919>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16702867>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2207081>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0145944>}]"
