"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17205021>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26124585>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.965806>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17803691>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26334304>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.82851076>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18202288>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2632463>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7930522>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10745247>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18476489>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7158916>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16793826>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25234872>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7059267>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10508817>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17254266>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.838442>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08421952>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16022703>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.235549>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16184092>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2619403>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.6937104>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09028279>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14143825>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.3389232>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16599639>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25452846>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7472701>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08651105>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1498758>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.1744137>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17362025>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2731845>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.73990077>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16531463>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24653009>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.55525786>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17505029>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.28780803>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.69570667>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16733795>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26943088>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.75490683>}]"
