"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14184968>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23789126>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.79510766>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1547268>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24638024>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.81505376>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15326855>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24915431>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.87324023>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.114763975>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18090484>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.0453482>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14745674>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24040942>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8407929>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10872362>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17503405>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.1709824>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09274974>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1582942>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.795928>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14670567>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23804149>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.82891566>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.089007474>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15537241>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.876731>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14669834>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2361465>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.88347054>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.092056274>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15342051>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.8532085>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15021601>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24361652>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.84927684>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14839488>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24006225>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5543126>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16104673>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22420204>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.97184426>}]"
