"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15154086>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22746132>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8176216>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14955434>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22397807>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7723921>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14925943>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.21508314>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.0725715>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.109578714>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.19057319>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.9843347>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14407803>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24683587>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.48308796>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14789082>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23611942>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.66343296>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09200476>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15907432>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.1125422>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14083228>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24912019>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.50993764>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.090135954>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14610292>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.5871885>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14707409>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22999796>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8428556>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.146959>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23736198>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.49711412>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.0908853>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15009882>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.5954976>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1466081>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23593125>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.44008756>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.12350857>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.21339934>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.9513268>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08858476>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14954242>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7998118>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1158264>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.20150495>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.8375757>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14926502>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22983024>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8531326>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.118199944>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18922335>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.0828106>}]"
