,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.6,0.0,0.05,0.0,0.325,0.0,0.275,0.0
CULTURE 1,0.56,0.0,0.05,0.0,0.355,0.0,0.205,0.0
CULTURE 2,0.67,0.0,0.05,0.0,0.29,0.0,0.38,0.0
