175,24,81,118
152,47,69,130
145,54,56,143
62,137,53,146
135,64,67,132
151,48,74,125
174,25,75,124
141,58,65,134
155,44,52,147
153,46,74,125
162,37,88,111
138,61,61,138
144,55,68,131
155,44,79,120
148,51,73,126
157,42,76,123
144,55,75,124
153,46,70,129
151,48,77,122
143,56,84,115
143,56,61,138
140,59,63,136
160,39,61,138
146,53,90,109
142,57,66,133
167,32,89,110
166,33,79,120
162,37,58,141
158,41,94,105
154,45,85,114
152,47,65,134
132,67,73,126
135,64,60,139
142,57,67,132
144,55,65,134
155,44,69,130
149,50,79,120
138,61,79,120
