,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.6535,0.0279,0.0047,0.0162,0.311,0.0189,0.3425,0.0089
CULTURE 1,0.6525,0.0347,0.0047,0.0162,0.3105,0.0269,0.342,0.0078
CULTURE 2,0.6655,0.0208,0.0047,0.0162,0.3195,0.0136,0.346,0.0072
