,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.3445,0.0021,0.0417,0.0014,0.248,0.0014,0.0965,0.0007
CULTURE 1,0.34,0.0043,0.0417,0.0014,0.279,0.0028,0.061,0.0015
CULTURE 2,0.4605,0.0021,0.0417,0.0014,0.3255,0.0008,0.135,0.0013
