n_loss,i_loss,kid
0.089086756,0.14991313,2.3133242
0.102689005,0.16916393,3.1753767
0.10691872,0.18987465,3.3174438
0.09052768,0.1517492,2.3736062
0.1452645,0.24367218,0.71706074
0.14327614,0.24264593,0.6527212
0.14526232,0.24030226,0.920276
0.14852862,0.24330448,0.9949916
0.14809316,0.23479113,0.7617931
0.11008744,0.18364838,2.8410695
0.09381195,0.16474383,3.0568695
0.08910309,0.15020514,2.6026208
0.106708534,0.18108097,3.0805693
0.09516935,0.15292232,2.728733
0.14722152,0.24519466,0.6206153
0.1527205,0.23044951,0.8148139
0.14582369,0.23916428,0.72841644
0.14920165,0.23696953,0.74803776
0.14857629,0.23318201,0.5884813
