n_loss,i_loss,kid
0.091109194,0.14929576,2.1463268
0.101320684,0.1697364,3.2458205
0.10617067,0.1948314,3.0613146
0.0897355,0.14445,2.291105
0.15047705,0.2526863,0.6741928
0.15011199,0.25039282,0.59765184
0.14739324,0.25391942,0.8467728
0.15409037,0.25493586,0.95956856
0.15711978,0.23897345,0.7706972
0.110565156,0.18592519,2.8581874
0.09701769,0.15409064,3.1357033
0.09160047,0.14734127,2.494498
0.10930114,0.18265842,2.9249287
0.09507077,0.15272108,2.5508764
0.15146373,0.2573239,0.60945314
0.16071789,0.2368571,0.7571112
0.15019168,0.24941926,0.6839325
0.15464889,0.24930581,0.73579305
0.15057625,0.24781454,0.5371518
