,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,19.625,3.243921441,20.025,2.908585295,11.65,2.013768397,17.1,1.880493901,5.45,2.041313074
ADV_CLSDIV,19.5,1.732050808,17,6.538348415,10.66666667,2.466441431,15.72222222,2.964293683,5.055555556,2.175196883
ADV_NOCLSDIV,19.16666667,5.0083264,18.33333333,6.506407099,9,2.291287847,15.5,4.255715112,6.5,2.315407332
