,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.339,0.0031,0.067,0.0024,0.2415,0.0015,0.0975,0.0016
CULTURE 1,0.3015,0.0029,0.067,0.0024,0.245,0.0019,0.0565,0.001
CULTURE 2,0.465,0.0042,0.067,0.0024,0.324,0.0039,0.141,0.0003
