STD,,,,,,ERR0,STD0,ERR1,STD1,ERR2,STD2,ERR,ERR_STD,CIC,CIC_STD
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,24.5,1.322875656,22.16666667,6.110100927,25.33333333,1.040833,24,2.309401077,3.166666667,2.309401077
,,STD,,,g=0.0001,26.33333333,2.020725942,20.66666667,1.154700538,21.5,1,22.83333333,0.600925213,2.166666667,1.166666667
,,ADV,,,,,,,,,,,,,
,,,CLSDIV,,ep=0.01,25,3.291402943,19.375,3.037954356,27.375,2.358495283,23.91666667,1.443375673,4.541666667,2.839454173
,,,NOCLSDIV,,ep=0.1,23,1.58113883,20.75,2.5,25.625,2.136000936,23.125,1.257385589,2.375,1.657614305
,,DIFF,,,,24.125,2.015564437,20.625,2.322893311,22.875,1.796988221,22.54166667,0.685497927,2.541666667,1.499228197
,IMB,,,,,,,,,,,,,,
,,NOAUG,,,,23.45,2.639970539,20.2,2.82055944,25.95,1.623610517,23.2,1.605930368,3.1,1.826079927
,,STD,,,g=0.0001,23.625,3.032561388,19.75,3.184785259,21.9375,1.935338656,21.77083333,1.130168902,2.770833333,1.493205511
MIT,,,,,,,,,,,,,,,
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,22.57142857,2.280872849,20.71428571,1.822478689,25.07142857,3.207134903,22.78571429,1.257254084,2.642857143,1.866935922
,,STDAUG,,,g=0.0001,23.5,2.549509757,19,4.037325848,19.75,1.604680654,20.75,1.734454765,3.25,1.625320481
,,DIFF,,,,,,,,,,,,,
,,,STDAUG,,,21.85,1.811230398,19.3,2.3828088,21.3,3.284644408,20.81666667,1.542504777,2.416666667,1.019107574
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,23.75,3.523729085,22.5,0.40824829,21.75,3.662876829,22.66666667,2.305388213,1.916666667,0.673575314
,,,,,,,,,,,,,,,
,PARBS,,,,,,,,,,,,,,
,,NOAUG,,,,19.33333333,2.273030283,16.08333333,2.596471965,24.08333333,1.934338819,19.83333333,1.422048601,3.75,2.007624356
,,STDAUG,,,g=0.0001,21.3,1.680773631,17.7,4.251470334,21.8,1.204159458,20.26666667,1.981161276,2.866666667,2.018662924
,,DIFF,,,,,,,,,,,,,
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,23.83333333,1.040833,20,4.5,23.5,1.322875656,22.44444444,1.436946351,3.111111111,2.238137453
