,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.696,0.0097,0.0243,0.009,0.3605,0.0023,0.3355,0.0074
CULTURE 1,0.7235,0.0121,0.0243,0.009,0.3895,0.0025,0.334,0.0097
CULTURE 2,0.7415,0.0149,0.0243,0.009,0.403,0.0023,0.3385,0.0126
