,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,20.9,2.970222588,12.8,1.932183566,30.8,1.653279569,21.5,1.04527154,8.7,1.658870656
ADV_CLSDIV,20.2,2.841654448,14.1,3.130495168,31.4,3.78153408,21.9,0.821583836,7.8,2.942504602
ADV_NOCLSDIV,20.8,0.758287544,13.4,0.651920241,31.9,3.45325933,22.03333333,1.31444961,8.633333333,1.464392176
