,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.425,,0.1017,,0.19,,0.235,
CULTURE 1,0.42,,0.1017,,0.24,,0.18,
CULTURE 2,0.27,,0.1017,,0.135,,0.135,
