"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.0829657>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1445649>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.8103298>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08689622>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1479928>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.7861303>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15357855>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2327075>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.53163713>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14058656>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23618144>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.84952605>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14374515>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2392493>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5688952>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14346398>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24049188>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.6131841>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08580081>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.152684>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.420608>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08655421>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14599697>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.75927>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14809503>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25482377>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.80777055>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14512546>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24481095>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.43758512>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14605273>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22680104>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5986518>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14924042>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24008472>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5673571>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.0878096>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16788432>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.6634324>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09204477>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15282626>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.2197955>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08167967>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16040277>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.537781>}]"
