n_loss,i_loss,kid
0.0829657,0.1445649,1.8103298
0.08689622,0.1479928,1.7861303
0.15357855,0.2327075,0.53163713
0.14058656,0.23618144,0.84952605
0.14374515,0.2392493,0.5688952
0.14346398,0.24049188,0.6131841
0.08580081,0.152684,2.420608
0.08655421,0.14599697,1.75927
0.14809503,0.25482377,0.80777055
0.14512546,0.24481095,0.43758512
0.14605273,0.22680104,0.5986518
0.14924042,0.24008472,0.5673571
0.0878096,0.16788432,3.6634324
0.09204477,0.15282626,2.2197955
0.08167967,0.16040277,1.537781
0.14301582,0.25950307,0.3946214
0.14635195,0.23280834,0.79738647
