,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.5885,0.0501,0.0417,0.0425,0.3085,0.0284,0.28,0.0218
CULTURE 1,0.5065,0.037,0.0417,0.0425,0.1445,0.0182,0.362,0.0189
CULTURE 2,0.5495,0.0774,0.0417,0.0425,0.365,0.0377,0.1845,0.0397
