"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08193151>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14162117>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.1446567>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08308843>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14118104>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.311431>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08489983>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14137721>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.1644711>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08513768>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13621959>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.485262>}]"
