"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1436533>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24220824>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8581251>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14317791>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24218313>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7297696>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14870785>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24019289>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8299737>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1530374>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.21977606>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.84852105>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1462668>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23493934>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.87994003>}]"
