,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.661,0.0265,0.0265,0.0182,0.297,0.0062,0.364,0.0203
CULTURE 1,0.6705,0.0282,0.0265,0.0182,0.3015,0.0045,0.369,0.0237
CULTURE 2,0.626,0.0188,0.0265,0.0182,0.287,0.0028,0.339,0.016
