,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.4875,0.1016,0.0083,0.074,0.26,0.0497,0.2275,0.0519
CULTURE 1,0.486,0.0554,0.0083,0.074,0.135,0.0276,0.351,0.0278
CULTURE 2,0.5095,0.1203,0.0083,0.074,0.363,0.0578,0.1465,0.0625
