,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.585,,0.0883,,0.44,,0.145,
CULTURE 1,0.51,,0.0883,,0.3,,0.21,
CULTURE 2,0.7,,0.0883,,0.24,,0.46,
