,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,18.95,1.802005056,16.55,2.350531855,24.45,3.23565209,19.98333333,1.788940648,3.583333333,1.623990665
ADV_CLSDIV,20.6,4.219004622,15.9,2.302172887,24.7,2.797320146,20.4,1.831817555,4.8,1.596001949
ADV_NOCLSDIV,18.2,2.797320146,15.9,1.55724115,25.1,3.070016287,19.73333333,1.797374629,4.133333333,1.569677957
