13,186,165,34
9,190,145,54
12,187,164,35
17,182,169,30
13,186,136,63
13,186,141,58
10,189,154,45
12,187,147,52
4,195,117,82
13,186,161,38
12,187,148,51
20,179,160,39
8,191,146,53
12,187,148,51
11,188,152,47
15,184,177,22
7,192,147,52
11,188,153,46
15,184,176,23
8,191,138,61
10,189,144,55
9,190,160,39
9,190,155,44
9,190,156,43
11,188,142,57
14,185,154,45
19,180,161,38
23,176,172,27
12,187,162,37
23,176,171,28
12,187,144,55
13,186,140,59
12,187,157,42
11,188,150,49
10,189,152,47
14,185,164,35
17,182,157,42
5,194,169,30
10,189,142,57
12,187,165,34
