n_loss,i_loss,kid
0.08537656,0.14303954,3.6469247
0.080287,0.14855035,3.135225
0.08479529,0.16143028,3.1551933
0.09533233,0.15596537,3.4169683
0.14557543,0.24749927,1.0362626
0.13749918,0.22710937,0.96923906
0.15233538,0.23984195,1.1394597
0.14354053,0.23908061,0.9653077
0.08318224,0.15522416,3.204574
0.09488667,0.14928582,4.0593576
0.14977881,0.24341078,0.8735049
0.14340895,0.23313478,1.1750529
0.15520753,0.24950376,1.2025092
0.14084858,0.22494109,1.095295
0.15767282,0.23743953,1.0814915
0.13781333,0.23279688,1.0101404
0.092959076,0.16036323,3.6102355
0.08570768,0.14620344,3.1828
0.1420812,0.22174212,1.1282291
0.14683379,0.23224811,1.1240109
0.08918793,0.13969342,3.2014375
