n_loss,i_loss,kid
0.08721362,0.14687598,1.482139
0.0889602,0.14753853,1.515626
0.15354215,0.23501742,0.7423776
0.1581316,0.25262266,0.5156998
0.1559123,0.25323823,0.750391
0.08929883,0.14638981,1.7786437
0.08421478,0.14251636,1.3506256
0.15245858,0.24576655,0.774364
0.15191542,0.2424432,0.69117975
0.15901111,0.256574,0.7503231
0.09037311,0.15076631,1.3461634
0.16049153,0.25070107,0.5743095
0.09389306,0.15355748,1.4199839
0.15597215,0.25007537,0.55660754
0.08634693,0.15697363,1.2382851
0.09601059,0.15482216,1.3667017
0.087799005,0.16230458,1.2573425
0.154111,0.24791546,0.7883319
