"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08297213>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14334626>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.4119881>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08570045>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14175238>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.4992137>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15399759>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23734955>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7702633>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15746759>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2565291>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5413768>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15675676>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2536994>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7838126>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.085907735>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14028758>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.7683806>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.0814606>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13268302>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.232525>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15228675>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24731995>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.80464226>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15188359>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24403769>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7303583>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15875916>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26015064>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7889343>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08817447>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14510024>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.2612935>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16222507>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2505271>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.590129>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09138792>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15024962>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.3627626>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15670106>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.251762>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.57841027>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08264664>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1491904>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.18436>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.092192695>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15325187>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.2762458>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.083860375>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15992922>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.2070465>}]"
