n_loss,i_loss,kid
0.08495801,0.14713478,1.3984315
0.08827304,0.14544657,1.5042051
0.15531509,0.24201985,0.7487109
0.16043584,0.25916246,0.5226263
0.15923914,0.25796944,0.7714747
0.08846512,0.14416696,1.7426678
0.082669,0.13634883,1.2105886
0.15261303,0.25360122,0.776985
0.15314358,0.24825388,0.73148155
0.16248898,0.26533133,0.7676912
0.09155335,0.14689814,1.2168871
0.1645137,0.25618756,0.5541442
0.09560561,0.15304247,1.3200884
0.16063978,0.25283644,0.53942984
0.08483527,0.1537425,1.1858728
0.09583928,0.1583723,1.253136
0.08636797,0.16731177,1.180889
0.15933825,0.24639544,0.79289085
