n_loss,i_loss,kid
0.08297213,0.14334626,1.4119881
0.08570045,0.14175238,1.4992137
0.15399759,0.23734955,0.7702633
0.15746759,0.2565291,0.5413768
0.15675676,0.2536994,0.7838126
0.085907735,0.14028758,1.7683806
0.0814606,0.13268302,1.232525
0.15228675,0.24731995,0.80464226
0.15188359,0.24403769,0.7303583
0.15875916,0.26015064,0.7889343
0.08817447,0.14510024,1.2612935
0.16222507,0.2505271,0.590129
0.09138792,0.15024962,1.3627626
0.15670106,0.251762,0.57841027
0.08264664,0.1491904,1.18436
0.092192695,0.15325187,1.2762458
0.083860375,0.15992922,1.2070465
0.15651192,0.24550252,0.8105103
