,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.7445,0.0389,0.0385,0.0265,0.432,0.0019,0.3125,0.037
CULTURE 1,0.6605,0.0442,0.0385,0.0265,0.386,0.0176,0.2745,0.0266
CULTURE 2,0.692,0.0405,0.0385,0.0265,0.3975,0.0237,0.2945,0.0168
