,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.51,,0.0633,,0.38,,0.13,
CULTURE 1,0.47,,0.0633,,0.38,,0.09,
CULTURE 2,0.395,,0.0633,,0.26,,0.135,
