,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.33,,0.0383,,0.215,,0.115,
CULTURE 1,0.385,,0.0383,,0.14,,0.245,
CULTURE 2,0.39,,0.0383,,0.14,,0.25,
