,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.485,,0.0117,,0.02,,0.465,
CULTURE 1,0.515,,0.0117,,0.4,,0.115,
CULTURE 2,0.49,,0.0117,,0.05,,0.44,
