,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.318,0.0036,0.1007,0.0028,0.1,0.0024,0.218,0.0012
CULTURE 1,0.286,0.0048,0.1007,0.0028,0.146,0.0018,0.14,0.003
CULTURE 2,0.151,0.0024,0.1007,0.0028,0.0755,0.0009,0.0755,0.0015
