"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10393572>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17878425>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.4888625>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17876616>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.30085924>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8130621>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08039686>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13550302>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.3169065>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.082967944>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13793483>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.2588043>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08672739>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14314334>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7830591>}]"
