,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.17,,0.0483,,0.06,,0.11,
CULTURE 1,0.235,,0.0483,,0.16,,0.075,
CULTURE 2,0.25,,0.0483,,0.15,,0.1,
