27,172,127,72
42,157,178,21
33,166,165,34
80,119,189,10
22,177,161,38
38,161,176,23
27,172,159,40
31,168,161,38
45,154,171,28
25,174,163,36
30,169,161,38
26,173,161,38
26,173,161,38
43,156,179,20
35,164,168,31
42,157,173,26
38,161,169,30
23,176,160,39
41,158,182,17
28,171,160,39
26,173,175,24
25,174,162,37
22,177,155,44
36,163,178,21
43,156,173,26
44,155,172,27
30,169,164,35
9,190,91,108
37,162,168,31
33,166,151,48
46,153,184,15
27,172,156,43
22,177,176,23
26,173,150,49
35,164,162,37
38,161,181,18
28,171,156,43
