"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1342053>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23003551>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0797809>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13709337>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23009932>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.2185497>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13568476>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2256366>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.1110674>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.0802069>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15442933>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.3398628>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14157978>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22731222>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9776543>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13879564>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2340904>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9730237>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1398298>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2313535>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.93271625>}]"
