,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.925,0.0,0.13,0.0,0.435,0.0,0.49,0.0
CULTURE 1,0.735,0.0,0.13,0.0,0.31,0.0,0.425,0.0
CULTURE 2,0.635,0.0,0.13,0.0,0.295,0.0,0.34,0.0
