,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.475,,0.0333,,0.21,,0.265,
CULTURE 1,0.46,,0.0333,,0.19,,0.27,
CULTURE 2,0.545,,0.0333,,0.23,,0.315,
