,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.4412,0.053,0.0176,0.0379,0.2633,0.0241,0.1779,0.0288
CULTURE 1,0.4629,0.0529,0.0176,0.0379,0.2933,0.0297,0.1696,0.0231
CULTURE 2,0.4725,0.0608,0.0176,0.0379,0.3146,0.0302,0.1579,0.0307
