,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.535,0.0,0.0367,0.0,0.415,0.0,0.12,0.0
CULTURE 1,0.585,0.0,0.0367,0.0,0.315,0.0,0.27,0.0
CULTURE 2,0.505,0.0,0.0367,0.0,0.115,0.0,0.39,0.0
