,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.634,0.0054,0.0632,0.0059,0.2975,0.0007,0.3365,0.0047
CULTURE 1,0.714,0.0078,0.0632,0.0059,0.3835,0.0054,0.3305,0.0024
CULTURE 2,0.7435,0.0099,0.0632,0.0059,0.4025,0.0026,0.341,0.0073
