,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.7012,0.073,0.0069,0.0456,0.3992,0.042,0.3021,0.031
CULTURE 1,0.7204,0.0669,0.0069,0.0456,0.4104,0.0387,0.31,0.0281
CULTURE 2,0.7029,0.07,0.0069,0.0456,0.4054,0.0386,0.2975,0.0314
