,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,17.6,1.791957341,15.2,1.798147195,27.65,2.224235199,20.15,0.87999018,5.25,0.975787115
ADV_CLSDIV,20.1,1.635542723,15.6,2.274862633,28.8,1.955760722,21.5,1.148670729,5.9,1.33645468
ADV_NOCLSDIV,17.2,3.07408523,15.7,3.420526275,30.6,3.267261851,21.16666667,2.746209509,6.266666667,1.685724374
