,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.613,0.0682,0.0075,0.0486,0.4165,0.0219,0.1965,0.0463
CULTURE 1,0.6215,0.0637,0.0075,0.0486,0.41,0.017,0.2115,0.0467
CULTURE 2,0.627,0.082,0.0075,0.0486,0.411,0.0314,0.216,0.0507
