,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.8845,0.0032,0.0148,0.0018,0.422,0.0023,0.4625,0.0009
CULTURE 1,0.882,0.0016,0.0148,0.0018,0.45,0.0002,0.432,0.0014
CULTURE 2,0.924,0.0022,0.0148,0.0018,0.4695,0.0006,0.4545,0.0016
