n_loss,i_loss,kid
0.090443924,0.15370625,0.8904856
0.15338008,0.2351446,0.713133
0.15586825,0.2594155,0.45116252
0.16612038,0.25185663,1.2099031
0.09218537,0.15949723,1.6860845
0.08971846,0.14517972,1.0714049
0.16463836,0.26283255,0.67109454
0.15053111,0.23543909,0.5022141
0.15256843,0.24142747,0.93033636
0.085671835,0.14069885,1.3834894
0.14473544,0.25131088,0.5463534
0.084400974,0.15030372,0.85858554
0.094402365,0.15845992,1.1462439
0.16026495,0.26173592,0.6457404
0.08882851,0.17173414,1.4225726
