n_loss,i_loss,kid
0.090054266,0.15398018,0.97695446
0.15105814,0.2355508,0.6962901
0.15333243,0.25197697,0.48555577
0.16089033,0.24841706,1.1250907
0.09132042,0.15852177,1.6154314
0.09056697,0.14812687,1.1437358
0.15977013,0.25530082,0.6377115
0.14974737,0.23601042,0.49713072
0.14900556,0.24471228,0.88322216
0.087085225,0.14402583,1.3962258
0.14578359,0.24606878,0.5640251
0.085589476,0.15073495,1.0141565
0.09388315,0.15930143,1.2468756
0.15792438,0.25510663,0.6444325
0.089188084,0.16758323,1.4550408
