42,157,146,53
59,140,161,38
10,189,123,76
16,183,127,72
20,179,126,73
62,137,124,75
21,178,137,62
107,92,169,30
66,133,160,39
15,184,86,113
33,166,130,69
24,175,139,60
16,183,124,75
14,185,139,60
25,174,102,97
87,112,165,34
28,171,169,30
152,47,178,21
54,145,177,22
93,106,189,10
48,151,150,49
161,38,191,8
64,135,167,32
66,133,147,52
31,168,139,60
50,149,162,37
108,91,184,15
51,148,158,41
38,161,103,96
19,180,115,84
55,144,149,50
38,161,165,34
62,137,129,70
116,83,187,12
94,105,180,19
134,65,187,12
17,182,114,85
96,103,180,19
79,120,156,43
63,136,176,23
