,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.666,0.0116,0.0662,0.0051,0.3385,0.0045,0.3275,0.0071
CULTURE 1,0.6945,0.0095,0.0662,0.0051,0.425,0.0021,0.2695,0.0073
CULTURE 2,0.836,0.0058,0.0662,0.0051,0.446,0.0014,0.39,0.0044
