,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.9,,0.1017,,0.44,,0.46,
CULTURE 1,0.725,,0.1017,,0.39,,0.335,
CULTURE 2,0.66,,0.1017,,0.295,,0.365,
