,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.4788,0.0359,0.0158,0.0224,0.3513,0.0213,0.1275,0.0146
CULTURE 1,0.4875,0.0313,0.0158,0.0224,0.4212,0.0151,0.0662,0.0163
CULTURE 2,0.5175,0.0358,0.0158,0.0224,0.1788,0.0171,0.3388,0.0187
