,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,20.75,3.490065265,16.5,2.223610677,25.05,2.753280871,20.76666667,1.202363927,4.516666667,2.247701158
ADV_CLSDIV,21.2,0.908295106,15.4,2.966479395,23.1,4.839938016,19.9,1.146249924,5,2.330355242
ADV_NOCLSDIV,21.25,1.767766953,15.25,4.596194078,22.5,2.121320344,19.66666667,1.649915823,4.416666667,2.946278255
