,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.815,,0.125,,0.34,,0.475,
CULTURE 1,0.54,,0.125,,0.45,,0.09,
CULTURE 2,0.64,,0.125,,0.365,,0.275,
