,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.4385,0.0414,0.0068,0.0254,0.175,0.0199,0.2635,0.0215
CULTURE 1,0.444,0.0349,0.0068,0.0254,0.2105,0.016,0.2335,0.0189
CULTURE 2,0.431,0.0318,0.0068,0.0254,0.198,0.0164,0.233,0.0154
