,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.45,0.0,0.02,0.0,0.405,0.0,0.045,0.0
CULTURE 1,0.475,0.0,0.02,0.0,0.445,0.0,0.03,0.0
CULTURE 2,0.485,0.0,0.02,0.0,0.465,0.0,0.02,0.0
