,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.662,0.0606,0.0488,0.0457,0.2725,0.0342,0.3895,0.0264
CULTURE 1,0.558,0.0769,0.0488,0.0457,0.1745,0.0413,0.3835,0.0356
CULTURE 2,0.6005,0.0765,0.0488,0.0457,0.236,0.0384,0.3645,0.0381
