,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.655,,0.1283,,0.375,,0.28,
CULTURE 1,0.5,,0.1283,,0.245,,0.255,
CULTURE 2,0.385,,0.1283,,0.175,,0.21,
