,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.698,0.0324,0.0033,0.0216,0.344,0.0224,0.354,0.01
CULTURE 1,0.698,0.0314,0.0033,0.0216,0.329,0.017,0.369,0.0143
CULTURE 2,0.708,0.0336,0.0033,0.0216,0.365,0.0218,0.343,0.0118
